"grande_area","area","subarea","valor"
"Ciências Sociais Aplicadas","Planejamento Urbano e Regional","Aspectos Econômicos do Planejamento Urbano e Regional","44921835"
"Ciências Sociais Aplicadas","Administração","Não informado","44900617"
"Ciências Agrárias","Engenharia Agrícola","Saneamento Rural","44726319"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Exploração Florestal","44451652"
"Ciências Humanas","Ciência Política","Análise do Processo Decisório","44359059"
"Lingüística, Letras e Artes","Artes","Tecelagem","44045292"
"Ciências Exatas e da Terra","Mudanças Climáticas","Não informado","43950000"
"Ciências Sociais Aplicadas","Economia","Teoria Monetária e Financeira","43902987"
"Ciências Humanas","Teologia","Ciências Empíricas da Religião","43850500"
"Ciências Sociais Aplicadas","Serviço Social","Serviço Social da Educação","43124739"
"Ciências Biológicas","Biotecnologia","Tratamento Biológico de Residuos","43058357"
"Ciências Biológicas","Parasitologia","Não informado","42868760"
"Ciências Biológicas","Botânica","Reprodução Vegetal","42727315"
"Ciências Sociais Aplicadas","Planejamento Urbano e Regional","Informação, Cadastro e Mapeamento","42571859"
"Lingüística, Letras e Artes","Artes","Técnicas de Registro e Processamento de Filmes","42413403"
"Ciências Sociais Aplicadas","Economia","Relações do Comércio; Política Comercial; Integração Econômica","42335809"
"Ciências Humanas","Educação","Administração de Sistemas Educacionais","42300251"
"Tecnologias","Tecnologias nas áreas Aeronáutica e Aeroespacial","Tecnologias nas áreas Aeronáutica e Aeroespacial","42035191"
"Ciências Sociais Aplicadas","Direito","História do Direito","41622658"
"Ciências Humanas","Filosofia","Não informado","41578314"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Hidrologia Florestal","41562303"
"Engenharias","Engenharia Naval e Oceânica","Normatização e Certificação de Qualidade de Navios","41097768"
"Ciências Biológicas","Farmacologia","Farmacocinética","40597747"
"Ciências Sociais Aplicadas","Planejamento Urbano e Regional","Transporte e Tráfego Urbano e Regional","40566050"
"Ciências Exatas e da Terra","Probabilidade e Estatística","Teoria Geral e Processos Estocásticos","39917776"
"Ciências Humanas","Ciência Política","Instituições Governamentais Específicas","39712701"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Relações Água-Madeira e Secagem","39308096"
"Engenharias","Engenharia Aeroespacial","Máquinas de Fluxo","39026663"
"Outra","Multidisciplinar","Ensino de Ciências e Matemática","38898470"
"Ciências Sociais Aplicadas","Planejamento Urbano e Regional","Teoria da Urbanização","38313498"
"Ciências Sociais Aplicadas","Comunicação","Videodifusão","38101414"
"Ciências Exatas e da Terra","Astronomia","Física Solar","38092479"
"Ciências Sociais Aplicadas","Ciência da Informação","Teoria Geral da Informação","37919706"
"Ciências Humanas","Ciência Política","Não informado","36956520"
"Lingüística, Letras e Artes","Artes","Dramaturgia","36914763"
"Ciências Humanas","Teologia","Tradições e Escrituras Sagradas","36428200"
"Ciências Exatas e da Terra","Probabilidade e Estatística","Inferência em Processos Estocásticos","36048699"
"Ciências Exatas e da Terra","Geociências","Desenvolvimento de Instrumentação Geofísica","35092073"
"Ciências Sociais Aplicadas","Serviço Social","Serviço Social do Menor","35070582"
"Engenharias","Engenharia Naval e Oceânica","Controle e Automação de Sistemas Propulsores","34628544"
"Engenharias","Engenharia Química","Couro","34460673"
"Engenharias","Engenharia de Materiais e Metalúrgica","Equipamentos Metalúrgicos","34407049"
"Engenharias","Engenharia Naval e Oceânica","Propulsão de Navios","34083200"
"Ciências Agrárias","Zootecnia","Instalações para Produção Animal","33841183"
"Ciências Sociais Aplicadas","Economia","Balanço de Pagamentos; Finanças Internacionais","33515792"
"Engenharias","Engenharia Naval e Oceânica","Resistência Hidrodinâmica","33499246"
"Ciências Biológicas","Botânica","Citologia Vegetal","33173132"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Administração Florestal","32852262"
"Ciências Biológicas","Biotecnologia","Biodiversidade","32764186"
"Ciências Sociais Aplicadas","Planejamento Urbano e Regional","Infra-Estruturas Urbanas e Regionais","32638990"
"Ciências Biológicas","Botânica","Morfologia Externa","32604389"
"Ciências Sociais Aplicadas","Comunicação","Teoria e Ética do Jornalismo","32511906"
"Ciências Humanas","Ciência Política","Comportamento Legislativo","32095992"
"Ciências Agrárias","Medicina Veterinária","Técnica Cirúrgica Animal","32085273"
"Ciências da Saúde","Medicina","Angiologia","32023515"
"Ciências Humanas","Ciência Política","Classes Sociais e Grupos de Interesse","31864059"
"Ciências Humanas","Educação","Administração de Unidades Educativas","31608636"
"Ciências Exatas e da Terra","Física","Campos Quânticos e Sólidos, Hélio, Líquido, Sólido","31595715"
"Engenharias","Engenharia Sanitária","Não informado","31112760"
"Ciências Sociais Aplicadas","Ciência da Informação","Técnicas de Recuperação de Informação","30704616"
"Ciências Biológicas","Biotecnologia","Tecnologia de Processos e Produtos","30692101"
"Ciências Agrárias","Recursos Pesqueiros e Engenharia de Pesca","Ostreicultura","30346213"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Propriedades Fisico-Mecânicas da Madeira","30326890"
"Ciências Exatas e da Terra","Probabilidade e Estatística","Análise Multivariada","30183461"
"Engenharias","Engenharia de Materiais e Metalúrgica","Instalações Metalúrgicas","29923686"
"Ciências Humanas","Teologia","Ciências da Linguagem Religiosa","29669557"
"Ciências Sociais Aplicadas","Comunicação","Radiodifusão","29597478"
"Ciências Exatas e da Terra","Matemática","Análise Funcional Não-Linear","29407058"
"Ciências Sociais Aplicadas","Demografia","Distribuição Espacial Urbana","29378942"
"Ciências Humanas","Educação","Teoria Geral de Planejamento e Desenvolvimento Curricular","29234733"
"Ciências Agrárias","Medicina Veterinária","Saneamento Aplicado a Saúde do Homem","29065157"
"Ciências Exatas e da Terra","Astronomia","Meio Interestelar","29024500"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Anatomia e Identificação de Produtos Florestais","28991842"
"Ciências Humanas","Educação","Antropologia Educacional","28737562"
"Ciências Exatas e da Terra","Geociências","Não informado","28611800"
"Engenharias","Engenharia Química","Cimento","28446240"
"Lingüística, Letras e Artes","Artes","Teoria da Arte","28373740"
"Ciências Sociais Aplicadas","Demografia","Fontes de Dados Demográficos","28324613"
"Ciências da Saúde","Enfermagem","Não informado","28243220"
"Ciências Sociais Aplicadas","Arquitetura e Urbanismo","Não informado","28220280"
"Ciências Sociais Aplicadas","Direito","Direito Processual Civil","27857295"
"Ciências Sociais Aplicadas","Direito","Direito Internacional Privado","27763329"
"Outra","Administração Hospitalar","Administração Hospitalar","27742866"
"Engenharias","Engenharia Elétrica","Instrumentação Eletromecânica","27681445"
"Ciências Agrárias","Engenharia Agrícola","Assentamento Rural","27634552"
"Engenharias","Engenharia Mecânica","Termoelasticidade","27568611"
"Engenharias","Engenharia Nuclear","Produção de Radioisótopos","27567883"
"Engenharias","Engenharia de Transportes","Veículos de Transportes","27534284"
"Ciências Exatas e da Terra","Astronomia","Astronomia Fundamental","27448480"
"Ciências Humanas","Ciência Política","Teoria Política Moderna","27439176"
"Lingüística, Letras e Artes","Artes","Administração e Produção de Filmes","27221814"
"Ciências Biológicas","Biotecnologia","Conservação e Multiplicação de Germoplasma","27094792"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Não informado","27052680"
"Ciências Exatas e da Terra","Física","Emissão Eletrônica e Iônica por Líquidos e Sólidos; Fenômenos de Impacto","27034959"
"Engenharias","Engenharia Aeroespacial","Helicópteros","26388553"
"Ciências Exatas e da Terra","Matemática","Conjuntos","26159268"
"Lingüística, Letras e Artes","Artes","Interpretação Teatral","26008625"
"Ciências Exatas e da Terra","Oceanografia","Propriedades Químicas da Água do Mar","25802804"
"Ciências Sociais Aplicadas","Demografia","Não informado","25753560"
"Ciências Humanas","Geografia","Regionalização","25736718"
"Ciências Humanas","Psicologia","Ensino e Aprendizagem na Sala de Aula","25707500"
"Ciências Sociais Aplicadas","Direito","Direito do Trabalho","25685925"
"Ciências Exatas e da Terra","Astronomia","Nebulosa","25676628"
"Ciências Exatas e da Terra","Matemática","Análise Complexa","25540501"
"Ciências Exatas e da Terra","Química","Termodinâmica Química","25209407"
"Ciências Exatas e da Terra","Geociências","Cartografia Geológica","24876707"
"Ciências Agrárias","Recursos Pesqueiros e Engenharia de Pesca","Avaliação de Estoques Pesqueiros Marinhos","24711827"
"Ciências Humanas","Psicologia","Treinamento e Reabilitação","24685503"
"Engenharias","Engenharia de Energia","Sistemas Híbridos e Sistemas Não-convencionais de Armazenagem de Energia","24668470"
"Engenharias","Engenharia Sanitária","Drenagem de Águas Residuárias","24615342"
"Engenharias","Engenharia Mecânica","Controle Numérico","24589799"
"Ciências Exatas e da Terra","Oceanografia","Geomorfologia Submarina","24386518"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Dendrologia","24264990"
"Ciências Exatas e da Terra","Probabilidade e Estatística","Análise Estocástica","24258800"
"Ciências Sociais Aplicadas","Economia","Economia do Consumidor","24256216"
"Engenharias","Engenharia de Energia","Energia das Ondas e Marés","24014568"
"Engenharias","Engenharia Química","Borrachas","23982349"
"Ciências Agrárias","Recursos Pesqueiros e Engenharia de Pesca","Avaliação de Estoques Pesqueiros de Águas Interiores","23965385"
"Ciências Exatas e da Terra","Geociências","Gravimetria","23948804"
"Ciências Sociais Aplicadas","Administração","Organizações Públicas","23808107"
"Ciências Biológicas","Biotecnologia","Plantas Transgênicas","23611685"
"Ciências Exatas e da Terra","Astronomia","Astronomia Espacial","23065157"
"Ciências Exatas e da Terra","Química","Titimetria","22907055"
"Engenharias","Engenharia Sanitária","Tecnologia e Problemas Sanitários de Irrigação","22435442"
"Ciências Exatas e da Terra","Oceanografia","Não informado","22376520"
"Ciências Sociais Aplicadas","Demografia","Distribuição Espacial Geral","22129400"
"Ciências da Saúde","Nutrição","Ciências humanas e sociais em alimentação e nutrição","21970000"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Mecanização Florestal","21799972"
"Ciências Humanas","Ciência Política","Sistemas Governamentais Comparados","21775360"
"Ciências Humanas","Psicologia","Processos Psico-Fisiológicos","21763907"
"Ciências Agrárias","Agronomia","Parasitologia Agrícola","21519822"
"Lingüística, Letras e Artes","Artes","Gravura","21212602"
"Ciências Biológicas","Biotecnologia","Metodologias Alternativas ao Uso de Animais","21162927"
"Ciências Humanas","Psicologia","Metodologia, Instrumentação e Equipamento em Psicologia","20643161"
"Engenharias","Engenharia de Energia","Micro-centrais Hidrelétricas","20595113"
"Ciências Exatas e da Terra","Física","Transferência de Calor; Processos Térmicos e Termodinâmicos","20564962"
"Ciências Sociais Aplicadas","Direito","Direito Administrativo","20420720"
"Ciências Exatas e da Terra","Astronomia","Radioastronomia","20126520"
"Ciências Sociais Aplicadas","Comunicação","Organização Editorial de Jornais","20057601"
"Engenharias","Engenharia Química","Fertilizantes","20055508"
"Ciências Exatas e da Terra","Probabilidade e Estatística","Teoria Geral e Fundamentos da Probabilidade","19502730"
"Ciências Sociais Aplicadas","Serviço Social","Serviço Social da Habitação","19346525"
"Ciências da Saúde","Nutrição","Não informado","19141520"
"Ciências Humanas","Ciência Política","Relações Intergovernamentais","19139262"
"Engenharias","Engenharia Sanitária","Limpeza Pública","18726902"
"Ciências Humanas","Psicologia","Treinamento de Pessoal","18315505"
"Ciências Exatas e da Terra","Química","Química Nuclear e Radioquímica","18140296"
"Ciências Agrárias","Agronomia","Mecanização Agrícola","17835199"
"Ciências Sociais Aplicadas","Direito","Não informado","17831343"
"Engenharias","Engenharia de Transportes","Equipamentos Auxiliares e Controles","17551710"
"Ciências Sociais Aplicadas","Demografia","Família e Reprodução","17486800"
"Ciências Sociais Aplicadas","Economia","Finanças Públicas Internas","17480449"
"Ciências Exatas e da Terra","Geociências","Fotogeografia (Físico-Ecológica)","17427691"
"Ciências Sociais Aplicadas","Direito","Antropologia Jurídica","17194580"
"Ciências Sociais Aplicadas","Economia","Teoria Geral da Economia","17170877"
"Ciências Sociais Aplicadas","Direito","Direito Processual Penal","17137724"
"Engenharias","Engenharia Nuclear","Segurança, Localização e Licenciamento de Reatores","17130486"
"Engenharias","Energia","Não informado","17090000"
"Lingüística, Letras e Artes","Artes","Interpretação Cinematográfica","16958633"
"Ciências Humanas","Psicologia","Planejamento Ambiental e Comportamento Humano","16913427"
"Ciências Humanas","Psicologia","Treinamento e Avaliação","16727166"
"Lingüística, Letras e Artes","Artes","Cenografia","16699275"
"Engenharias","Engenharia Aeroespacial","Normatização e Certificação de Qualidade de Aeronaves e Componentes","16391589"
"Ciências Exatas e da Terra","Matemática","Topologia das Variedades","15872561"
"Ciências Biológicas","Biotecnologia","Melhoramento de Plantas","15667423"
"Ciências Sociais Aplicadas","Demografia","Fecundidade","15620182"
"Ciências Sociais Aplicadas","Economia","Economia Urbana","15575058"
"Ciências Exatas e da Terra","Matemática","Equações Diferenciais Funcionais","15497966"
"Ciências Sociais Aplicadas","Direito","Direito Tributário","15284678"
"Ciências Sociais Aplicadas","Demografia","Mortalidade","15126151"
"Engenharias","Engenharia Nuclear","Instrumentação para Operação e Controle de Reatores","15111599"
"Ciências Agrárias","Recursos Pesqueiros e Engenharia de Pesca","Fatores Abióticos de Águas Interiores","14888598"
"Ciências Biológicas","Biotecnologia","Biotecnologia","14773287"
"Ciências Exatas e da Terra","Física","Cinética e Teoria de Transporte de Fluídos; Propriedades Físicas de Gases","14655753"
"Ciências Humanas","Psicologia","Distúrbios Psicossomáticos","14395785"
"Ciências Humanas","Arqueologia","Não informado","14369680"
"Lingüística, Letras e Artes","Artes","Pintura","14175628"
"Engenharias","Engenharia Química","Xisto","14126485"
"Ciências Biológicas","Farmacologia","Biodisponibilidade","14115312"
"Ciências Sociais Aplicadas","Planejamento Urbano e Regional","Administração Municipal e Urbana","13962443"
"Ciências Humanas","Psicologia","Estados Subjetivos e Emoção","13709287"
"Ciências da Saúde","Medicina","Não informado","13640280"
"Engenharias","Engenharia Naval e Oceânica","Dinâmica Estrutural Naval e Oceânica","13579874"
"Ciências Humanas","Ciência Política","Técnicas de Antecipação","13402625"
"Engenharias","Engenharia Naval e Oceânica","Motor de Propulsão","13397003"
"Ciências Exatas e da Terra","Geociências","Meteorologia Sinótica","13389338"
"Engenharias","Engenharia Nuclear","Transferência de Calor em Reatores","13362486"
"Tecnologias","Mudanças Climáticas","Mudanças Climáticas","13357052"
"Ciências Agrárias","Zootecnia","Fisiologia de Plantas Forrageiras","13343167"
"Ciências Biológicas","Biotecnologia","Biocombustíveis","13228073"
"Engenharias","Engenharia Sanitária","Química Sanitária","13193028"
"Ciências Humanas","Teologia","Não informado","13149689"
"Lingüística, Letras e Artes","Artes","Crítica da Arte","13077462"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Processamento Mecânico da Madeira","13062477"
"Ciências Exatas e da Terra","Geociências","Geodésia Geométrica","12913253"
"Ciências Humanas","Teologia","Epistemologia das Ciências da Religião","12665571"
"Ciências Sociais Aplicadas","Desenho Industrial","Não informado","12392896"
"Ciências Exatas e da Terra","Astronomia","Não informado","12211160"
"Engenharias","Engenharia Química","Metais Não-Ferrosos","12145560"
"Ciências Exatas e da Terra","Física","Eletricidade e Magnetismo; Campos e Partículas Carregadas","12066695"
"Engenharias","Engenharia Nuclear","Fusão Controlada","12045694"
"Engenharias","Engenharia Nuclear","Rejeitos de Combustível Nuclear","11892700"
"Ciências Sociais Aplicadas","Economia","Política Fiscal do Brasil","11868036"
"Ciências Exatas e da Terra","Física","Desintegração Nuclear e Radioatividade","11704225"
"Ciências Sociais Aplicadas","Ciência da Informação","Não informado","11601440"
"Ciências Agrárias","Agronomia","Parques e Jardins","11594457"
"Ciências Exatas e da Terra","Probabilidade e Estatística","Planejamento de Experimentos","11503573"
"Ciências Exatas e da Terra","Astronomia","Sistema Planetário","11470780"
"Ciências Humanas","Educação","Economia da Educação","10945677"
"Ciências Biológicas","Imunologia","Não informado","10943560"
"Ciências Sociais Aplicadas","Arquitetura e Urbanismo","Conceituação de Paisagísmo e Metodologia do Paisagismo","10772089"
"Ciências da Saúde","Medicina","Fisiatria","10680862"
"Ciências Humanas","Psicologia","Aprendizagem e Desempenho Acadêmicos","10655352"
"Engenharias","Engenharia de Energia","Engenharia de Energia","10615756"
"Ciências da Saúde","Medicina","Cirurgia Proctológica","10610091"
"Ciências Exatas e da Terra","Geociências","Geofísica Nuclear","10591333"
"Outra","Bioética","Não informado","10520000"
"Outra","Estudos Sociais","Estudos Sociais","10400457"
"Engenharias","Engenharia de Minas","Não informado","9808080"
"Engenharias","Engenharia Naval e Oceânica","Custos de Construção Naval","9721300"
"Ciências Exatas e da Terra","Ciência da Computação","Matemática Simbólica","9673580"
"Ciências Exatas e da Terra","Química","Gravimetria","9666549"
"Engenharias","Engenharia Aeroespacial","Aerodinâmica dos Processos Geofísicos e Interplanetários","9578056"
"Ciências Humanas","Sociologia","História da Sociologia","9574915"
"Ciências Biológicas","Fisiologia","Cinesiologia","9373492"
"Outra","Relações Internacionais","Relações Internacionais","8985020"
"Ciências Humanas","Psicologia","Planejamento Institucional","8981337"
"Ciências Agrárias","Recursos Pesqueiros e Engenharia de Pesca","Recursos Pesqueiros e Engenharia de Pesca","8867014"
"Ciências Sociais Aplicadas","Economia","Estatística Sócio-Econômica","8799281"
"Engenharias","Engenharia Aeroespacial","Não informado","8790480"
"Lingüística, Letras e Artes","Artes","Ópera","8767100"
"Ciências Agrárias","Agronomia","Arborização de Vias Públicas","8712317"
"Lingüística, Letras e Artes","Artes","Canto","8196000"
"Ciências Sociais Aplicadas","Direito","Direito Comercial","8078979"
"Ciências Exatas e da Terra","Geociências","Geodésia Física","8038734"
"Tecnologias","Tecnologias Naval e Marítima","Tecnologias Naval e Marítima","7866300"
"Ciências Exatas e da Terra","Probabilidade e Estatística","Não informado","7739240"
"Tecnologias","Complexo da Defesa","Complexo da Defesa","7546600"
"Ciências Sociais Aplicadas","Economia","Demografia Econômica","7405508"
"Ciências Exatas e da Terra","Astronomia","Processamento de Dados Astronômicos","7197017"
"Engenharias","Tecnologias nas áreas Aeronáutica e Aeroespacial","Não informado","7140000"
"Ciências Sociais Aplicadas","Economia","Flutuações Cíclicas e Projeções Econômicas","7080204"
"Ciências Sociais Aplicadas","Economia","Sistemas Econômicos","6976920"
"Ciências Sociais Aplicadas","Planejamento Urbano e Regional","Serviços Comunitários","6899057"
"Ciências Sociais Aplicadas","Arquitetura e Urbanismo","Desenvolvimento Histórico do Paisagismo","6884182"
"Ciências Humanas","Educação","Planejamento Educacional","6791400"
"Ciências Biológicas","Biotecnologia","Ciências de Animais de Laboratórios","6767091"
"Ciências Sociais Aplicadas","Ciência da Informação","Teoria da Classificação","6540375"
"Engenharias","Engenharia Nuclear","Aspectos Econômicos de Reatores","6181006"
"Ciências Humanas","Psicologia","Programação de Condições de Ensino","6070014"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Resinas de Madeiras","5976974"
"Ciências Sociais Aplicadas","Direito","Teoria do Estado","5910945"
"Ciências Humanas","História","História dos Estados Unidos","5796133"
"Ciências Exatas e da Terra","Geociências","Geotermia e Fluxo Térmico","5790359"
"Ciências Humanas",NULL,"Ciências Humanas","5742623"
"Engenharias","Engenharia Sanitária","Parasitologia Aplicada a Engenharia Sanitária","5719405"
"Engenharias","Engenharia Naval e Oceânica","Não informado","5618600"
"Ciências Humanas","Ciência Política","Organizações Internacionais","5466378"
"Lingüística, Letras e Artes",NULL,"Lingüística, Letras e Artes","5385221"
"Ciências Humanas","Ciência Política","Estudos do Poder Local","5318468"
"Ciências Sociais Aplicadas","Ciência da Informação","Organização de Arquivos","5306445"
"Outra","Desenho de Moda","Desenho de Moda","5119649"
"Outra","Bioética","Bioética","5026912"
"Engenharias","Microeletrônica","Não informado","4940000"
"Ciências Sociais Aplicadas","Demografia","Projeções","4883152"
"Ciências Humanas","Teologia","Teologia Moral","4741569"
"Ciências Sociais Aplicadas","Administração","Administração de Pessoal","4677832"
"Lingüística, Letras e Artes","Artes","Regência","4664384"
"Ciências Sociais Aplicadas","Economia","Teoria e Política de Planejamento Econômico","4609723"
"Ciências Sociais Aplicadas","Economia","Renda e Tributação","4154519"
"Engenharias","Engenharia de Minas","Equipamentos de Lavra","4121518"
"Ciências Biológicas","Desenvolvimento e Inovação Tecnológica em Biologia","Não informado","3878000"
"Ciências Sociais Aplicadas","Demografia","Tendências Passadas","3862117"
"Engenharias","Engenharia Química","Detergentes","3802400"
"Ciências Humanas","Psicologia","Mecanismos Instintivos e Processos Sociais em Animais","3724964"
"Ciências Biológicas","Biotecnologia","Técnicas de Reprodução","3722202"
"Ciências Sociais Aplicadas","Economia","Inflação","3635090"
"Ciências Exatas e da Terra","Probabilidade e Estatística","Teoremas de Limite","3598275"
"Outra","Engenharia Cartografica","Engenharia Cartografica","3554340"
"Ciências Humanas","Psicologia","Análise Institucional","3517692"
"Ciências Exatas e da Terra","Física","Dinâmica da Rede e Estatística de Cristais","3400891"
"Ciências Sociais Aplicadas","Demografia","Métodos e Técnicas de Demografia Histórica","3344294"
"Ciências Sociais Aplicadas","Economia","Investimentos Internacionais e Ajuda Externa","3254751"
"Ciências Sociais Aplicadas","Economia","Sindicatos, Dissídios Coletivos, Relações de Emprego (Empregador/Empregado)","3147020"
"Engenharias","Engenharia Nuclear","Problemas Tecnológicos da Fusão Controlada","3144608"
"Lingüística, Letras e Artes","Artes","Execução da Dança","3140216"
"Engenharias","Engenharia de Transportes","Não informado","3019760"
"Ciências Sociais Aplicadas","Secretariado Executivo","Não informado","3000000"
"Ciências Sociais Aplicadas","Demografia","Distribuição Espacial Rural","2992405"
"Engenharias","Engenharia Naval e Oceânica","Síntese Estrutural Naval e Oceânica","2836192"
"Engenharias","Tecnologias Naval e Marítima","Não informado","2822000"
"Ciências Humanas","Psicologia","Estimulação Elétrica e com Drogas; Comportamento","2766233"
"Lingüística, Letras e Artes","Artes","Coreografia","2646178"
"Engenharias","Engenharia de Transportes","Vias de Transporte","2511392"
"Ciências Humanas","Ciência Política","Conflitos e Coalizões Políticas","2317115"
"Engenharias","Engenharia de Transportes","Estação de Transporte","2218560"
"Ciências Sociais Aplicadas","Planejamento Urbano e Regional","Legislação Urbana e Regional","2194764"
"Engenharias","Engenharia Sanitária","Resíduos Radioativos","2143920"
"Engenharias","Engenharia Elétrica","Medidas Magnéticas","2123291"
"Ciências Sociais Aplicadas","Economia","Contabilidade Nacional","2101512"
"Ciências Sociais Aplicadas","Administração","Contabilidade e Finanças Públicas","2077789"
"Ciências Humanas","Educação","Orientação Educacional","1938140"
"Engenharias","Engenharia de Produção","Localização Industrial","1893130"
"Ciências Agrárias","Zootecnia","Toxicologia e Plantas Tóxicas","1882172"
"Engenharias","Engenharia de Produção","Vida Econômica dos Equipamentos","1880114"
"Ciências Agrárias","Recursos Pesqueiros e Engenharia de Pesca","Fatores Abióticos do Mar","1798789"
"Ciências Sociais Aplicadas","Direito","Teoria Geral do Processo","1712388"
"Ciências Humanas","Psicologia","Técnicas de Processamento Estatístico, Matemático e Computacional em Psicologia","1638400"
"Engenharias","Engenharia Elétrica","Radionavegação e Radioastronomia","1395794"
"Outra","Segurança Contra Incêndio","Segurança Contra Incêndio","1350632"
"Engenharias","Complexo da Defesa","Não informado","1330000"
"Ciências Agrárias","Medicina Veterinária","Obstetrícia Animal","1271296"
"Engenharias","Engenharia Nuclear","Reprocessamento de Combustível Nuclear","1231853"
"Outra","Administração Rural","Administração Rural","1215443"
"Ciências Exatas e da Terra","Física","Propriedades de Núcleos Específicos","1088345"
"Lingüística, Letras e Artes","Artes","Não informado","973960"
"Outra","Desenho de Projetos","Desenho de Projetos","936192"
"Outra","Historia Natural","Historia Natural","916740"
"Lingüística, Letras e Artes","Artes","Escultura","802980"
"Engenharias","Engenharia de Transportes","Capacidade de Vias de Transporte","759335"
"Ciências Exatas e da Terra","Não informado","Não informado","714560"
"Ciências Sociais Aplicadas","Demografia","Políticas de Redistribuição de População","700130"
"Ciências Sociais Aplicadas","Economia","Treinamento e Alocação de Mão-de-Obra; Oferta de Mão-de-Obra e Força de Trabalho","634102"
"Ciências Sociais Aplicadas","Ciências Sociais","Não informado","616680"
"Engenharias","Engenharia Naval e Oceânica","Soldagem de Estruturas Navais e Oceânicos","606509"
"Engenharias","Engenharia Aeroespacial","Motores Alternativos","582028"
"Engenharias","Engenharia Nuclear","Geração e Integração com Sistemas Elétricos  em Reatores","536800"
"Ciências Sociais Aplicadas","Planejamento Urbano e Regional","Técnica de Previsão Urbana e Regional","485886"
"Ciências Humanas","Psicologia","Distúrbios da Linguagem","480000"
"Ciências Sociais Aplicadas","Demografia","Política Populacional","448685"
"Lingüística, Letras e Artes","Artes","Cerâmica","416708"
"Ciências Humanas","Educação","Orientação Vocacional","375192"
"Ciências Humanas","Psicologia","Recrutamento e Seleção de Pessoal","359600"
"Ciências Sociais Aplicadas","Economia","Teoria do Comércio Internacional","317661"
"Ciências Sociais Aplicadas","Demografia","Políticas de Planejamento Familiar","312092"
"Ciências Exatas e da Terra","Matemática","Biomatemática","220000"
"Ciências Sociais Aplicadas","Direito","Lógica Jurídica","183277"
"Ciências Sociais Aplicadas","Demografia","Natalidade, Mortalidade, Migração","178060"
"Ciências Sociais Aplicadas","Demografia","Casamento e Divórcio","102444"
"Ciências Sociais Aplicadas","Demografia","Taxas e Estimativas Correntes","69300"
"Ciências Humanas","Ciência Política","Teoria Política Clássica","63750"
"Outra","Ciências Atuarias","Ciências Atuarias","54460"
"Outra","Carreira Religiosa","Carreira Religiosa","48000"
"Outra","Engenharia Textil","Engenharia Textil","44260"
"Outra","Engenharia de Agrimensura","Engenharia de Agrimensura","40120"
"Outra","Fontes Alternativas de Energia","Fontes Alternativas de Energia","27560"
"Outra","Secretariado Executivo","Secretariado Executivo","20360"
"Ciências Sociais Aplicadas","Comunicação","Organização Comercial de Jornais","20200"
"Outra","Carreira Militar","Carreira Militar","19200"
"Outra","Relações Públicas","Relações Públicas","15840"
"Outra","Engenharia de Armamentos","Engenharia de Armamentos","15100"
"Ciências Exatas e da Terra","Astronomia","Movimento da Terra","8000"
"Outra","Decoração","Decoração","6400"
"Engenharias","Engenharia Sanitária","Layout de Processos Industriais","4800"
"Outra","Diplomacia","Diplomacia","4320"
